OKRES|PS|P_HL_PS
607|1|57
607|18|51
607|7|43
607|20|22
607|5|21
607|10|11
607|22|11
607|13|9
607|14|6
607|23|4
607|21|4
607|16|2
608|11|3185
608|19|2994
608|24|1995
608|22|1574
608|4|998
608|18|978
608|6|642
608|9|631
608|12|526
608|3|383
608|2|351
608|15|325
608|17|278
608|1|156
608|25|92
608|7|35
608|5|20
608|20|20
608|21|19
608|10|19
608|14|12
608|23|9
608|16|8
608|13|7
609|22|5780
609|11|5711
609|18|4971
609|19|4766
609|24|3626
609|4|2337
609|12|1167
609|6|1062
609|3|985
609|9|812
609|2|775
609|17|539
609|15|363
609|1|293
609|25|150
609|7|104
609|20|63
609|5|52
609|10|33
609|23|22
609|13|18
609|21|18
609|14|15
609|16|11
610|11|4043
610|19|3693
610|22|2803
610|24|2247
610|18|1389
610|4|1358
610|12|822
610|6|745
610|3|725
610|9|511
610|2|471
610|17|441
610|15|258
610|1|120
610|25|66
610|7|53
610|20|27
610|5|19
610|13|17
610|21|16
610|10|15
610|16|14
610|14|7
610|23|6
611|11|8590
611|19|7792
611|4|3760
611|12|3141
611|24|2910
611|3|2705
611|6|2169
611|2|1423
611|15|1353
611|17|1283
611|9|1162
611|25|321
611|7|115
611|18|104
611|20|78
611|1|71
611|10|48
611|16|21
611|21|20
611|13|19
611|5|18
611|23|17
611|22|16
611|14|15
612|19|3193
612|11|3047
612|24|2111
612|4|1384
612|12|685
612|3|645
612|15|641
612|2|531
612|6|500
612|9|489
612|17|430
612|25|86
612|7|46
612|20|38
612|1|37
612|18|26
612|10|12
612|21|9
612|13|7
612|5|6
612|16|5
612|23|5
612|22|3
612|14|3
613|11|5515
613|19|5262
613|4|2940
613|24|2742
613|12|1641
613|3|1538
613|6|1121
613|2|1040
613|15|865
613|9|857
613|17|677
613|25|138
613|18|116
613|7|96
613|1|63
613|20|44
613|10|28
613|13|15
613|22|12
613|5|10
613|16|9
613|21|7
613|23|7
613|14|6
701|11|9856
701|19|8486
701|15|3669
701|4|3340
701|24|2486
701|6|1835
701|17|1467
701|3|1409
701|2|1366
701|9|1347
701|12|1339
701|18|473
701|1|276
701|25|183
701|7|127
701|10|64
701|20|29
701|5|21
701|13|20
701|14|18
701|21|18
701|16|18
701|23|9
701|22|4
702|19|7932
702|11|6681
702|4|2906
702|24|2358
702|15|2000
702|6|1436
702|9|1373
702|17|1204
702|12|1099
702|2|1082
702|3|1036
702|18|207
702|7|166
702|25|140
702|1|82
702|20|31
702|5|23
702|22|23
702|14|19
702|23|18
702|10|15
702|21|9
702|13|8
702|16|7
703|11|9033
703|19|4523
703|24|3158
703|15|3064
703|6|2388
703|4|2238
703|12|1090
703|3|1083
703|17|1061
703|2|1029
703|9|904
703|18|419
703|1|258
703|25|109
703|7|93
703|10|55
703|20|41
703|21|21
703|5|18
703|13|18
703|23|15
703|16|15
703|22|13
703|14|10
704|11|4298
704|19|2687
704|15|1966
704|24|1635
704|4|1381
704|6|1102
704|9|503
704|12|497
704|3|467
704|17|466
704|2|395
704|25|72
704|7|62
704|1|61
704|20|35
704|18|26
704|10|16
704|23|11
704|13|8
704|21|7
704|5|7
704|22|2
704|16|2
704|14|2
705|19|1709.0
705|11|762.0
705|24|469.0
705|17|278.0
705|4|277.0
705|9|257.0
705|12|245.0
705|6|232.0
705|2|210.0
705|15|197.0
705|3|149.0
705|18|85.0
705|1|52.0
705|25|23.0
705|20|11.0
705|7|8.0
705|16|8.0
705|5|5.0
705|14|4.0
705|10|4.0
705|23|3.0
705|22|3.0
705|13|2.0
705|21|0.0
706|11|15194
706|19|8364
706|6|6040
706|24|4686
706|4|4154
706|12|3556
706|3|3489
706|15|3191
706|2|2337
706|17|2256
706|9|1449
706|25|328
706|1|207
706|7|177
706|18|164
706|20|108
706|22|71
706|10|62
706|13|32
706|5|31
706|21|30
706|23|21
706|14|11
706|16|8
707|11|26264
707|19|15127
707|15|7789
707|4|7725
707|6|6256
707|24|6002
707|12|5250
707|3|4557
707|2|2953
707|9|2802
707|17|2317
707|25|555
707|18|522
707|7|339
707|1|334
707|10|110
707|20|90
707|21|58
707|5|51
707|13|36
707|22|33
707|23|31
707|14|27
707|16|18
708|11|7266
708|19|6175
708|24|2952
708|15|2532
708|4|2344
708|6|1147
708|9|1008
708|12|927
708|2|873
708|3|861
708|17|728
708|7|169
708|1|161
708|25|103
708|18|61
708|20|42
708|10|34
708|5|20
708|21|16
708|13|16
708|23|14
708|16|14
708|14|11
708|22|4
709|19|5338
709|11|2884
709|4|1641
709|24|1171
709|15|810
709|17|797
709|9|789
709|2|721
709|6|511
709|12|502
709|3|432
709|18|179
709|7|122
709|25|66
709|1|47
709|10|21
709|20|11
709|5|10
709|21|9
709|23|6
709|13|5
709|14|5
709|22|3
709|16|2
710|11|5696
710|19|5542
710|15|2749
710|24|2534
710|4|1639
710|6|1147
710|9|1121
710|2|918
710|3|824
710|17|776
710|12|740
710|1|163
710|25|131
710|7|82
710|18|44
710|20|27
710|10|18
710|21|18
710|13|14
710|14|9
710|16|9
710|23|8
710|5|8
710|22|3
711|19|2461
711|11|1909
711|15|1020
711|24|802
711|4|768
711|9|497
711|17|430
711|6|362
711|3|359
711|12|347
711|2|295
711|18|81
711|1|65
711|25|58
711|7|38
711|10|26
711|5|25
711|20|12
711|16|7
711|13|7
711|14|7
711|21|6
711|22|1
711|23|1
712|19|4261
712|11|2980
712|4|1240
712|24|1140
712|15|1093
712|9|980
712|17|707
712|2|599
712|12|491
712|6|484
712|3|479
712|18|378
712|25|105
712|7|72
712|1|59
712|10|36
712|20|22
712|5|15
712|13|12
712|16|10
712|22|8
712|21|7
712|14|6
712|23|5
713|19|9619
713|11|7584
713|24|3901
713|4|3213
713|15|2703
713|9|1448
713|17|1289
713|6|1170
713|2|1116
713|12|1069
713|3|872
713|25|198
713|1|180
713|7|121
713|18|113
713|20|48
713|10|38
713|5|33
713|23|20
713|16|15
713|13|13
713|21|13
713|14|13
713|22|10
801|19|3149
801|11|2850
801|24|1851
801|4|1243
801|6|575
801|15|537
801|9|466
801|17|429
801|2|402
801|12|401
801|3|397
801|1|145
801|7|109
801|18|72
801|25|60
801|20|48
801|10|31
801|21|10
801|5|9
801|13|8
801|16|6
801|14|5
801|23|4
801|22|2
802|11|9751
802|19|4310
802|12|3682
802|6|3544
802|3|3313
802|4|2658
802|24|1807
802|15|1651
802|17|1219
802|2|948
802|9|651
802|22|519
802|18|383
802|25|208
802|7|115
